Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Leury García,Right,Left,2018,1252,0.27765025,0.635093356,0.531034482,0.225287356,0.26339286,0.052715654,0.22284345,Leury Garcia,5913,544725
Luis Arraez,Right,Left,2019,1677,0.361842065,0.838887352,0.408362369,0.28989547,0.3091922,0.073345259,0.064997018,Luis Arraez,18568,650333
Luis García Jr.,Right,Left,2020,914,0.30848612,0.716266769,0.546592489,0.193324061,0.31111111,0.050328227,0.160831509,Luis Garcia Jr.,20391,671277
Luis Guillorme,Right,Left,2018,627,0.315142986,0.707345772,0.491111111,0.233333333,0.26200873,0.116427432,0.151515151,Luis Guillorme,16451,641645
Luis Rengifo,Right,Left,2019,1130,0.292623566,0.666125969,0.498113207,0.181132075,0.28375,0.081415929,0.2,Luis Rengifo,19858,650859
Mallex Smith,Right,Left,2018,873,0.295940388,0.674053476,0.488013698,0.219178082,0.27787022,0.080183276,0.214203894,Mallex Smith,13608,605480
Marwin Gonzalez,Right,Left,2018,1201,0.288970939,0.658659097,0.428571428,0.214941022,0.35459184,0.089092422,0.238967527,Marwin Gonzalez,5497,503556
Matt Adams,Right,Left,2018,647,0.311509905,0.739896194,0.316953316,0.213759213,0.38235294,0.075734157,0.285935085,Matt Adams,9393,571431
Matt Beaty,Right,Left,2019,603,0.317075601,0.731315694,0.457013574,0.201357466,0.33484163,0.074626865,0.164179104,Matt Beaty,17710,607461
Matt Carpenter,Right,Left,2018,1575,0.335495338,0.779040874,0.268973214,0.244419642,0.40989011,0.141587301,0.262222222,Matt Carpenter,8090,572761
Matt Joyce,Right,Left,2018,624,0.322821792,0.731417595,0.357326478,0.262210796,0.35897436,0.153846153,0.221153846,Matt Joyce,3353,459964
Matt Olson,Right,Left,2018,2451,0.376983277,0.900005777,0.362148002,0.203667321,0.44104235,0.131374949,0.234190126,Matt Olson,14344,621566
Max Kepler,Right,Left,2018,2102,0.334884987,0.783639203,0.37854251,0.174089068,0.38124157,0.112274024,0.173168411,Max Kepler,12144,596146
Max Muncy,Right,Left,2018,2197,0.363532551,0.85464287,0.338620142,0.202220459,0.42450593,0.164314974,0.252162039,Max Muncy,13301,571970
Michael Brantley,Right,Left,2018,1609,0.381680677,0.897581192,0.428134556,0.253822629,0.38994669,0.088253573,0.091361093,Michael Brantley,4106,488726
Michael Conforto,Right,Left,2018,1750,0.355272118,0.833098183,0.399818676,0.22030825,0.36684783,0.137714285,0.217142857,Michael Conforto,16376,624424
Michael Harris II,Right,Left,2022,706,0.370654635,0.868923275,0.486538461,0.207692307,0.38505747,0.050991501,0.201133144,Michael Harris II,25931,671739
Michael Massey,Right,Left,2022,528,0.293194961,0.676006648,0.306849315,0.249315068,0.32707775,0.053030303,0.225378787,Michael Massey,27684,686681
Mike Ford,Right,Left,2019,611,0.301173438,0.691461569,0.376021798,0.188010899,0.35967302,0.109656301,0.270049099,Mike Ford,15585,645801
Mike Moustakas,Right,Left,2018,1651,0.326004283,0.771261138,0.322862129,0.191099476,0.38120104,0.089036947,0.205935796,Mike Moustakas,4892,519058
Mike Tauchman,Right,Left,2018,822,0.316249753,0.722117608,0.448742746,0.228239845,0.29094412,0.128953771,0.234793187,Mike Tauchman,15274,643565
Mike Yastrzemski,Right,Left,2019,1592,0.348088324,0.821050087,0.313765182,0.215587044,0.36963037,0.111180904,0.248743718,Mike Yastrzemski,14854,573262
Mitch Moreland,Right,Left,2018,962,0.344825849,0.820285606,0.416289592,0.188536953,0.35542169,0.101871101,0.205821205,Mitch Moreland,3086,519048
MJ Melendez,Right,Left,2022,866,0.310890023,0.710499104,0.353728489,0.202676864,0.40152964,0.127020785,0.266743648,MJ Melendez,22197,669004
Nathaniel Lowe,Right,Left,2019,1574,0.348684127,0.806400865,0.463220675,0.214711729,0.36345581,0.11245235,0.242693773,Nathaniel Lowe,19566,663993
Neil Walker,Right,Left,2018,673,0.315149821,0.728777124,0.382882882,0.274774774,0.39910314,0.106983655,0.222882615,Neil Walker,7539,435522
Nick Gordon,Right,Left,2021,604,0.309126792,0.718514299,0.420560747,0.231308411,0.42824074,0.043046357,0.226821192,Nick Gordon,16337,624503
Nick Markakis,Right,Left,2018,936,0.343128021,0.803636627,0.429752066,0.282369146,0.39256198,0.104700854,0.117521367,Nick Markakis,5930,455976
Nicky Lopez,Right,Left,2019,1422,0.286364577,0.642447379,0.559322033,0.20244821,0.24,0.079465541,0.140646976,Nicky Lopez,19339,670032
Niko Goodrum,Right,Left,2018,1121,0.280946778,0.648932051,0.373417721,0.235759493,0.37952756,0.089206066,0.337198929,Niko Goodrum,12092,592348
Nolan Gorman,Right,Left,2022,668,0.33016561,0.765491629,0.279683377,0.245382585,0.35092348,0.098802395,0.327844311,Nolan Gorman,22263,669357
Nomar Mazara,Right,Left,2018,1110,0.317199118,0.737182146,0.485006518,0.207301173,0.3767927,0.078378378,0.219819819,Nomar Mazara,14553,608577
Odúbel Herrera,Right,Left,2018,1063,0.305337254,0.709691438,0.45157068,0.184554973,0.28294574,0.069614299,0.195672624,Odubel Herrera,11476,546318
Omar Narváez,Right,Left,2018,1511,0.324032333,0.74941693,0.340019102,0.258834765,0.27756654,0.095301125,0.199867637,Omar Narvaez,13338,553882
Ozzie Albies,Right,Left,2018,2333,0.320072278,0.754497719,0.355123674,0.207302709,0.36187683,0.074582083,0.185169309,Ozzie Albies,16556,645277
Pablo Sandoval,Right,Left,2018,595,0.314792511,0.745117845,0.487804878,0.195121951,0.42092457,0.075630252,0.226890756,Pablo Sandoval,5409,467055
Pavin Smith,Right,Left,2020,830,0.320991693,0.734791876,0.433333333,0.205263157,0.32399299,0.109638554,0.196385542,Pavin Smith,19892,656976
Rafael Devers,Right,Left,2018,2339,0.378419071,0.911101533,0.407361963,0.193251533,0.41539401,0.09277469,0.201368106,Rafael Devers,17350,646240
Rafael Ortega,Right,Left,2018,924,0.315252993,0.719362744,0.356918238,0.237421383,0.28615863,0.10064935,0.196969696,Rafael Ortega,10323,542364
Raimel Tapia,Right,Left,2018,1410,0.309115134,0.713673199,0.565789473,0.192669172,0.30065359,0.065957446,0.169503546,Raimel Tapia,14350,606132
Reese McGuire,Right,Left,2018,714,0.306895805,0.707562092,0.438,0.222,0.22222222,0.056022408,0.201680672,Reese McGuire,15674,624512
Riley Greene,Right,Left,2022,622,0.324877287,0.744427634,0.492346938,0.227040816,0.36479592,0.090032154,0.274919614,Riley Greene,25976,682985
Rio Ruiz,Right,Left,2018,643,0.27943061,0.643191832,0.451990632,0.175644028,0.3225058,0.101088646,0.225505443,Rio Ruiz,14103,547004
Robbie Grossman,Right,Left,2018,1980,0.300427274,0.679478017,0.342701014,0.231069476,0.32037325,0.121212121,0.219191919,Robbie Grossman,5254,543257
Robinson Canó,Right,Left,2018,749,0.323389194,0.765778,0.462994836,0.228915662,0.40791738,0.064085447,0.156208277,Robinson Cano,3269,429664
Ronald Guzmán,Right,Left,2018,623,0.327600395,0.766675744,0.382352941,0.251336898,0.35828877,0.091492776,0.292134831,Ronald Guzman,14388,608597
