Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Luke Voit,Right,Right,2018,1258,0.362234712,0.847609057,0.397333333,0.241333333,0.40266667,0.101748807,0.284578696,Luke Voit,14811,572228
Maikel Franco,Right,Right,2018,1394,0.294339686,0.699387779,0.474254742,0.16440831,0.2962963,0.050932568,0.152797704,Maikel Franco,12179,596748
Manny Machado,Right,Right,2018,2581,0.350071445,0.832300447,0.400214018,0.185125735,0.39946524,0.086400619,0.185586981,Manny Machado,11493,592518
Manny Piña,Right,Right,2018,512,0.291344528,0.676862064,0.402234636,0.209497206,0.3547486,0.0703125,0.20703125,Manny Pina,2829,444489
Manuel Margot,Right,Right,2018,1554,0.286360384,0.660707519,0.456217162,0.183887915,0.3161512,0.066280566,0.178893178,Manuel Margot,14712,622534
Marcell Ozuna,Right,Right,2018,2122,0.342683134,0.803003169,0.411323328,0.20122783,0.42223738,0.090951932,0.213949104,Marcell Ozuna,10324,542303
Marcus Semien,Right,Right,2018,2798,0.340312662,0.797231463,0.358180058,0.200871248,0.33945841,0.090421729,0.166547533,Marcus Semien,12533,543760
Mark Canha,Right,Right,2018,1882,0.344591442,0.779550707,0.423588039,0.206810631,0.32475083,0.107863974,0.204038257,Mark Canha,11445,592192
Martín Maldonado,Right,Right,2018,1523,0.258275443,0.58131192,0.410733844,0.191675794,0.2901169,0.080761654,0.285620485,Martin Maldonado,6887,455117
Matt Chapman,Right,Right,2018,2444,0.336017789,0.78299535,0.364505119,0.166552901,0.39836289,0.107610474,0.277414075,Matt Chapman,16505,656305
Matt Duffy,Right,Right,2018,983,0.309981791,0.700069711,0.527272727,0.247552447,0.28212291,0.069175991,0.188199389,Matt Duffy,13836,622110
Matt Vierling,Right,Right,2021,639,0.300418216,0.683937433,0.486175115,0.195852534,0.34482759,0.07198748,0.236306729,Matt Vierling,21558,663837
Mauricio Dubón,Right,Right,2019,867,0.271546342,0.625925925,0.41766467,0.200598802,0.26222222,0.044982698,0.170703575,Mauricio Dubon,16530,643289
Max Stassi,Right,Right,2018,796,0.299689502,0.679920255,0.472647702,0.17286652,0.30415755,0.092964824,0.314070351,Max Stassi,10059,545358
Michael A. Taylor,Right,Right,2018,1353,0.280418923,0.640335501,0.453254437,0.175147928,0.31548975,0.068736141,0.275683665,Michael A. Taylor,11489,572191
Michael Chavis,Right,Right,2019,716,0.286273729,0.663348569,0.46031746,0.192743764,0.29478458,0.062849162,0.311452513,Michael Chavis,17321,656308
Miguel Andujar,Right,Right,2018,748,0.322656347,0.75692551,0.471571906,0.190635451,0.34280936,0.038770053,0.15775401,Miguel Andujar,15878,609280
Miguel Cabrera,Right,Right,2018,1717,0.295976139,0.681358494,0.484723369,0.21552436,0.34682081,0.075713453,0.211415259,Miguel Cabrera,1744,408234
Miguel Rojas,Right,Right,2018,1907,0.279170478,0.636631098,0.479360852,0.211717709,0.25825627,0.056633455,0.138437336,Miguel Rojas,7802,500743
Miguel Sanó,Right,Right,2018,1097,0.334049466,0.794497474,0.382246376,0.18115942,0.4692029,0.112123974,0.379216043,Miguel Sano,12164,593934
Mike Trout,Right,Right,2018,1781,0.43368568,1.057459918,0.261201143,0.221163012,0.43183985,0.153846153,0.236945536,Mike Trout,10155,545361
Mike Zunino,Right,Right,2018,950,0.269316116,0.625986765,0.387475538,0.150684931,0.40117417,0.063157894,0.378947368,Mike Zunino,13265,572287
Mitch Garver,Right,Right,2018,1062,0.342333596,0.80250436,0.374422187,0.18798151,0.40769231,0.097928436,0.278719397,Mitch Garver,15161,641598
Mitch Haniger,Right,Right,2018,1501,0.324648102,0.758553209,0.402051282,0.182564102,0.35794872,0.081945369,0.253830779,Mitch Haniger,14274,571745
Mookie Betts,Right,Right,2018,2527,0.39481695,0.935579153,0.324875896,0.225592939,0.41478213,0.113573407,0.154728927,Mookie Betts,13611,605141
Myles Straw,Right,Right,2018,1416,0.286827319,0.6389141,0.449160908,0.198420533,0.22146341,0.098163841,0.174435028,Myles Straw,17620,664702
Nelson Cruz,Right,Right,2018,1750,0.342043447,0.804084744,0.445623342,0.193633952,0.39522546,0.088,0.249714285,Nelson Cruz,2434,443558
Nick Ahmed,Right,Right,2018,1430,0.285833049,0.66321244,0.481369587,0.204431017,0.31714569,0.075524475,0.213986013,Nick Ahmed,12147,605113
Nick Castellanos,Right,Right,2018,2590,0.336004609,0.792403729,0.373725934,0.244620611,0.39014723,0.062548262,0.247104247,Nick Castellanos,11737,592206
Nick Madrigal,Right,Right,2020,594,0.30613275,0.685904135,0.579381443,0.206185567,0.20408163,0.052188552,0.094276094,Nick Madrigal,20521,663611
Nick Senzel,Right,Right,2019,957,0.273274363,0.618207241,0.45116279,0.2124031,0.29012346,0.082549634,0.225705329,Nick Senzel,19293,669222
Nick Solak,Right,Right,2019,638,0.288845257,0.651971276,0.54109589,0.157534246,0.30405405,0.076802507,0.206896551,Nick Solak,19294,669256
Nico Hoerner,Right,Right,2019,1166,0.315880917,0.719977177,0.489432703,0.19243604,0.24115044,0.072041166,0.132075471,Nico Hoerner,21479,663538
