Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,LD%,GB%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Ronald Acuña Jr.,Left,Right,2018,679,0.386315747,0.91479437,0.203233256,0.454965357,0.43187067,0.139911634,0.207658321,Ronald Acuna Jr.,18401,660670
Ryan Braun,Left,Right,2018,375,0.362741251,0.871358748,0.202952029,0.498154981,0.4797048,0.101333333,0.16,Ryan Braun,3410,460075
Ryan Jeffers,Left,Right,2020,287,0.361711106,0.839676112,0.187878787,0.381818181,0.38690476,0.114982578,0.285714285,Ryan Jeffers,24618,680777
Ryan Mountcastle,Left,Right,2020,558,0.357163673,0.849069671,0.245382585,0.356200527,0.36939314,0.080645161,0.236559139,Ryan Mountcastle,18373,663624
Ryan Zimmerman,Left,Right,2018,253,0.41464734,0.992181539,0.198830409,0.450292397,0.39181287,0.09090909,0.233201581,Ryan Zimmerman,4220,475582
Salvador Perez,Left,Right,2018,636,0.341862458,0.814325406,0.214932126,0.359728506,0.39366516,0.051886792,0.231132075,Salvador Perez,7304,521692
Sandy León,Left,Right,2018,286,0.240238965,0.529736973,0.216494845,0.407216494,0.27777778,0.09090909,0.213286713,Sandy Leon,5273,506702
Santiago Espinal,Left,Right,2020,378,0.330294624,0.757409422,0.272425249,0.398671096,0.27302632,0.076719576,0.119047619,Santiago Espinal,19997,669289
Scott Kingery,Left,Right,2018,311,0.278537359,0.660233402,0.287234042,0.287234042,0.38219895,0.048231511,0.337620578,Scott Kingery,17975,664068
Sean Murphy,Left,Right,2019,463,0.338081864,0.774534974,0.211072664,0.408304498,0.3633218,0.116630669,0.231101511,Sean Murphy,19352,669221
Seiya Suzuki,Left,Right,2022,286,0.361415326,0.849932325,0.243902439,0.375609756,0.36585366,0.118881118,0.16083916,Seiya Suzuki,30116,673548
Spencer Torkelson,Left,Right,2022,268,0.321923722,0.756840795,0.180851063,0.340425531,0.40425532,0.093283582,0.201492537,Spencer Torkelson,27465,679529
Starlin Castro,Left,Right,2018,436,0.357782686,0.843399276,0.235474006,0.474006116,0.44648318,0.066513761,0.183486238,Starlin Castro,4579,516770
Starling Marte,Left,Right,2018,774,0.326816181,0.762456462,0.204379562,0.509124087,0.29893238,0.058139534,0.201550387,Starling Marte,9241,516782
Stephen Piscotty,Left,Right,2018,481,0.326052697,0.757407406,0.219584569,0.439169139,0.33136095,0.083160083,0.203742203,Stephen Piscotty,13367,572039
Taylor Walls,Left,Right,2021,299,0.286194414,0.626184942,0.260869565,0.347826086,0.24193548,0.133779264,0.240802675,Taylor Walls,22458,670764
Taylor Ward,Left,Right,2018,459,0.34119743,0.786069543,0.233974358,0.358974358,0.36477987,0.100217864,0.200435729,Taylor Ward,17548,621493
Teoscar Hernández,Left,Right,2018,772,0.373187925,0.895165539,0.193877551,0.379591836,0.39795918,0.075129533,0.288860103,Teoscar Hernandez,13066,606192
Thairo Estrada,Left,Right,2019,417,0.313917097,0.721286341,0.222222222,0.468013468,0.2962963,0.064748201,0.206235011,Thairo Estrada,16426,642731
Tim Anderson,Left,Right,2018,706,0.366241071,0.862986765,0.210428305,0.515828677,0.34264432,0.046742209,0.19263456,Tim Anderson,15172,641313
Tim Locastro,Left,Right,2018,284,0.304829276,0.684494573,0.211764705,0.376470588,0.30285714,0.066901408,0.246478873,Tim Locastro,15124,641796
Todd Frazier,Left,Right,2018,346,0.323393954,0.751922012,0.173333333,0.36,0.32444444,0.104046242,0.231213872,Todd Frazier,785,453943
Tom Murphy,Left,Right,2018,419,0.378038872,0.895331953,0.221311475,0.344262295,0.42622951,0.112171837,0.291169451,Tom Murphy,13499,608596
Tomás Nido,Left,Right,2018,256,0.274216776,0.633585316,0.204678362,0.514619883,0.3575419,0.05859375,0.2421875,Tomas Nido,13755,621512
Tommy Edman,Left,Right,2019,615,0.340618512,0.803217248,0.181052631,0.448421052,0.37160752,0.050406504,0.160975609,Tommy Edman,19470,669242
Tommy Pham,Left,Right,2018,858,0.357646971,0.827868535,0.221818181,0.481818181,0.41454545,0.144522144,0.208624708,Tommy Pham,2967,502054
Travis d'Arnaud,Left,Right,2018,401,0.35705711,0.839377878,0.197132616,0.480286738,0.40501792,0.087281795,0.209476309,Travis d'Arnaud,7739,518595
Trea Turner,Left,Right,2018,938,0.375643099,0.888639838,0.209401709,0.408831908,0.37357955,0.08315565,0.159914712,Trea Turner,16252,607208
Trevor Story,Left,Right,2018,752,0.400061622,0.960067039,0.228915662,0.29317269,0.41967871,0.085106382,0.240691489,Trevor Story,12564,596115
Trey Mancini,Left,Right,2018,925,0.32998681,0.77121213,0.2170418,0.47266881,0.31993569,0.088648648,0.225945945,Trey Mancini,15149,641820
Ty France,Left,Right,2019,669,0.332367752,0.768826877,0.253112033,0.443983402,0.32780083,0.049327354,0.195814648,Ty France,17982,664034
Tyler O'Neill,Left,Right,2018,360,0.353240061,0.815560948,0.223744292,0.388127853,0.44292237,0.127777777,0.255555555,Tyler O'Neill,15711,641933
Tyler Stephenson,Left,Right,2020,354,0.347182611,0.809550712,0.196,0.46,0.356,0.09039548,0.194915254,Tyler Stephenson,17988,663886
Tyrone Taylor,Left,Right,2019,321,0.323243906,0.752398753,0.189189189,0.391891891,0.37668161,0.049844236,0.239875389,Tyrone Taylor,13675,621438
Victor Caratini,Left,Right,2018,389,0.2812485,0.622230019,0.232365145,0.502074688,0.32780083,0.08226221,0.254498714,Victor Caratini,14968,605170
Victor Reyes,Left,Right,2018,316,0.302107648,0.695838695,0.225806451,0.580645161,0.30603448,0.050632911,0.212025316,Victor Reyes,15487,622682
Victor Robles,Left,Right,2018,533,0.327168044,0.73883922,0.23030303,0.403030303,0.22905028,0.076923076,0.204502814,Victor Robles,18363,645302
Vladimir Guerrero Jr.,Left,Right,2019,630,0.340450442,0.788034187,0.180043383,0.52494577,0.34707158,0.128571428,0.136507936,Vladimir Guerrero Jr.,19611,665489
Wander Franco,Left,Right,2021,276,0.395258164,0.927681159,0.225663716,0.442477876,0.2699115,0.079710144,0.094202898,Wander Franco,23667,677551
Whit Merrifield,Left,Right,2018,964,0.332734597,0.783526783,0.267643142,0.340878828,0.32375979,0.067427385,0.135892116,Whit Merrifield,11281,593160
