Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
DJ LeMahieu,- - -,DJ LeMahieu,2018,2355,0.327785359,0.754207772,0.531160663,0.211549456,0.31207289,0.091295116,0.157537154,DJ LeMahieu,9874,518934
Domingo Santana,- - -,Domingo Santana,2018,597,0.327941776,0.764604227,0.455331412,0.250720461,0.43227666,0.090452261,0.319932998,Domingo Santana,10348,570267
Donovan Solano,- - -,Donovan Solano,2019,978,0.327938677,0.747826759,0.413432835,0.262686567,0.32238806,0.072597137,0.216768916,Donovan Solano,8623,456781
Dylan Moore,SEA,Dylan Moore,2019,727,0.296952944,0.673124049,0.338582677,0.175853018,0.25515464,0.093535075,0.335625859,Dylan Moore,18042,664238
Edmundo Sosa,- - -,Edmundo Sosa,2018,536,0.303390716,0.691449698,0.518918918,0.189189189,0.25935829,0.042910447,0.21641791,Edmundo Sosa,17022,624641
Eduardo Núñez,- - -,Eduardo Núñez,2018,463,0.281329548,0.657369476,0.496103896,0.2,0.2642487,0.019438444,0.142548596,Eduardo Nunez,6848,456488
Edward Olivares,- - -,Edward Olivares,2020,512,0.313049741,0.723786176,0.4609375,0.203125,0.30310881,0.048828125,0.18359375,Edward Olivares,19698,658668
Edwin Encarnación,- - -,Edwin Encarnación,2018,931,0.337855344,0.80131188,0.347682119,0.195364238,0.40066225,0.091299677,0.241675617,Edwin Encarnacion,2151,429665
Elehuris Montero,COL,Elehuris Montero,2022,308,0.300667566,0.693890615,0.415730337,0.191011235,0.36516854,0.051948051,0.35064935,Elehuris Montero,20543,660707
Elias Díaz,- - -,Elias Díaz,2018,1342,0.30248536,0.697189163,0.466460268,0.185758513,0.32955716,0.071535022,0.199701937,Elias Diaz,11680,553869
Eloy Jiménez,CHW,Eloy Jiménez,2019,1344,0.349248322,0.825492536,0.491024287,0.18373812,0.39809926,0.063244047,0.229166666,Eloy Jimenez,17484,650391
Elvis Andrus,- - -,Elvis Andrus,2018,1898,0.291138844,0.668348519,0.504388926,0.191087103,0.31628533,0.05532139,0.153319283,Elvis Andrus,8709,462101
Emmanuel Rivera,- - -,Emmanuel Rivera,2021,492,0.289065165,0.65712737,0.477477477,0.198198198,0.36036036,0.073170731,0.243902439,Emmanuel Rivera,19890,656896
Enrique Hernández,- - -,Enrique Hernández,2018,1620,0.298394636,0.691590123,0.36347826,0.193043478,0.32755633,0.074691358,0.202469135,Enrique Hernandez,10472,571771
Eric Haase,- - -,Eric Haase,2018,732,0.279721715,0.641157334,0.412393162,0.194444444,0.30063966,0.069672131,0.285519125,Eric Haase,14111,606992
Erik González,- - -,Erik González,2018,519,0.239182707,0.55199062,0.554644808,0.202185792,0.2722372,0.04238921,0.236994219,Erik Gonzalez,13369,570481
Esteury Ruiz,- - -,Esteury Ruiz,2022,362,0.273248775,0.611690733,0.487704918,0.221311475,0.18039216,0.044198895,0.212707182,Esteury Ruiz,21780,665923
Eugenio Suárez,- - -,Eugenio Suárez,2018,2538,0.336834995,0.791258191,0.350819672,0.207868852,0.38688525,0.094956658,0.286840031,Eugenio Suarez,12552,553993
Evan Gattis,HOU,Evan Gattis,2018,297,0.29557622,0.693387509,0.348717948,0.184615384,0.36923077,0.074074074,0.262626262,Evan Gattis,11003,594828
Evan Longoria,- - -,Evan Longoria,2018,1337,0.302049474,0.70396631,0.425364758,0.197530864,0.39842873,0.071054599,0.252804786,Evan Longoria,9368,446334
Ezequiel Duran,TEX,Ezequiel Duran,2022,475,0.30351918,0.695546811,0.45,0.203125,0.28173375,0.046315789,0.261052631,Ezequiel Duran,23733,677649
Ezequiel Tovar,COL,Ezequiel Tovar,2022,462,0.290993827,0.672277621,0.426332288,0.225705329,0.30745342,0.041125541,0.253246753,Ezequiel Tovar,24064,678662
Fernando Tatis Jr.,SDP,Fernando Tatis Jr.,2019,1375,0.365497696,0.871163815,0.464852607,0.19047619,0.45423729,0.084363636,0.265454545,Fernando Tatis Jr.,19709,665487
Francisco Alvarez,NYM,Francisco Alvarez,2022,285,0.335290839,0.788989715,0.47027027,0.124324324,0.32972973,0.066666666,0.266666666,Francisco Alvarez,26121,682626
Francisco Cervelli,- - -,Francisco Cervelli,2018,469,0.344487711,0.784654194,0.421404682,0.170568561,0.3410596,0.108742004,0.206823027,Francisco Cervelli,5275,465041
